customer_id,first_name,last_name,gender,DOB,profession_id,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,address_id,address,postcode,state,country,property_valuation
2021,Ulrica,Abelwhite,U,,160,Software Test Engineer I,IT,High Net Worth,N,Yes,1,0 3rd Road,4060,QLD,Australia,9
1212,Cindy,Freeborn,Female,1968-10-24,98,Legal Assistant,Property,Affluent Customer,N,No,2,0 American Ash Parkway,3175,VIC,Australia,7
3860,Sheila-kathryn,Conklin,Female,1986-04-05,102,Mechanical Systems Engineer,n/a,Affluent Customer,N,Yes,3,0 Arapahoe Court,4305,QLD,Australia,3
188,Audry,Seine,Female,1975-06-22,143,Safety Technician II,Property,High Net Worth,N,Yes,4,0 Bay Center,3196,VIC,Australia,6
2248,Helsa,Grandisson,Female,1996-05-23,156,Software Engineer I,Manufacturing,Mass Customer,N,No,5,0 Blaine Point,3183,VIC,Australia,7
374,Valdemar,MacCoughen,Male,1992-01-22,151,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,6,0 Brown Trail,2203,NSW,Australia,9
2334,Zebulen,Hefford,Male,1996-03-16,75,Food Chemist,Health,Affluent Customer,N,No,7,0 Butterfield Junction,2340,NSW,Australia,5
2896,Chryste,Deaville,Female,1970-03-25,73,Financial Advisor,Financial Services,Mass Customer,N,Yes,8,0 Caliangt Pass,2530,NSW,Australia,7
1467,Alysia,Cantrill,Female,1975-12-16,197,,Manufacturing,Mass Customer,N,Yes,9,0 Canary Parkway,2506,NSW,Australia,9
689,Hamnet,Berford,Male,1966-05-19,149,Senior Developer,Entertainment,High Net Worth,N,Yes,10,0 Carey Drive,4110,QLD,Australia,4
321,Christean,Finnes,Female,1973-09-15,101,Marketing Manager,n/a,Mass Customer,N,No,11,0 Coolidge Avenue,4122,QLD,Australia,8
1891,Neville,Bloyes,Male,1990-03-02,101,Marketing Manager,Retail,Mass Customer,N,Yes,12,0 Corben Court,3121,VIC,Australia,11
3905,Leodora,Cowill,Female,1967-10-22,120,Product Engineer,Argiculture,High Net Worth,N,No,13,0 Darwin Junction,2747,NSW,Australia,9
108,Kayle,Mingaud,Female,1994-03-14,197,,n/a,High Net Worth,N,No,14,0 David Terrace,3204,VIC,Australia,11
2769,Trevor,Itschakov,Male,1978-09-10,120,Product Engineer,Manufacturing,Affluent Customer,N,Yes,15,0 Debs Lane,3204,VIC,Australia,7
3724,Griffith,Minor,Male,1976-03-23,197,,IT,Affluent Customer,N,No,16,0 Declaration Center,2250,NSW,Australia,10
2157,Alidia,Petyankin,Female,1978-01-30,44,Community Outreach Specialist,Property,Mass Customer,N,No,17,0 Delladonna Parkway,3189,VIC,Australia,10
2552,Allard,Skipton,Male,1973-11-02,197,,Manufacturing,Affluent Customer,N,Yes,18,0 Dunning Plaza,2462,NSW,Australia,2
2618,Jay,Prue,Male,1977-12-14,19,Administrative Assistant IV,n/a,Mass Customer,N,No,19,0 Erie Lane,4405,QLD,Australia,1
1214,Martino,Shalcros,Male,1989-05-01,96,Internal Auditor,Property,High Net Worth,N,No,20,0 Evergreen Road,3037,VIC,Australia,7
1087,Lian,Madrell,Female,1979-09-18,74,Financial Analyst,Financial Services,Mass Customer,N,Yes,21,0 Fremont Court,3023,VIC,Australia,7
1333,Phillipp,McMonnies,Male,1973-08-23,45,Compensation Analyst,Financial Services,High Net Worth,N,No,22,0 Fulton Drive,3806,VIC,Australia,8
2368,Rowe,Losbie,Female,1993-01-22,40,Chemical Engineer,Manufacturing,Mass Customer,N,No,23,0 Gateway Road,3149,VIC,Australia,12
134,Merna,McCulloch,Female,1997-08-01,98,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,24,0 Golden Leaf Crossing,2033,New South Wales,Australia,9
466,Jarad,Bauser,Male,1991-01-27,197,,Manufacturing,Affluent Customer,N,Yes,25,0 Golf Lane,2120,NSW,Australia,11
322,De,Denington,Female,1977-03-10,140,Research Associate,Financial Services,Mass Customer,N,Yes,26,0 Graceland Plaza,2515,NSW,Australia,10
1717,Obadias,Gristwood,Male,1978-11-14,42,Civil Engineer,Manufacturing,Mass Customer,N,No,27,0 Graedel Drive,4817,QLD,Australia,4
1373,Shaylynn,Epsley,Female,1958-09-23,63,Director of Sales,Financial Services,Mass Customer,N,Yes,28,0 Grasskamp Pass,3170,VIC,Australia,10
2980,Di,Plaid,Female,1979-12-22,40,Chemical Engineer,Manufacturing,Mass Customer,N,No,29,0 Hayes Hill,2106,NSW,Australia,11
153,Lorilyn,Walshe,Female,1977-07-28,24,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,30,0 Hazelcrest Road,3025,VIC,Australia,8
3537,Sholom,Pavlasek,Male,1997-01-15,83,Graphic Designer,Financial Services,Mass Customer,N,No,31,0 Heath Point,2136,NSW,Australia,9
3,Arlin,Dearle,Male,1954-01-20,134,Recruiting Manager,Property,Mass Customer,N,Yes,32,0 Holy Cross Court,4211,QLD,Australia,9
1198,Alina,Rickson,Female,1973-09-30,147,Sales Representative,Retail,High Net Worth,N,No,33,0 Kedzie Junction,2155,NSW,Australia,10
2662,Louisette,Cullimore,Female,1977-12-21,10,Accountant IV,Property,Mass Customer,N,Yes,34,0 Knutson Crossing,2151,NSW,Australia,8
2903,Avery,Adamov,Male,1977-09-20,115,Operator,Manufacturing,Affluent Customer,N,Yes,35,0 Lakeland Pass,3195,VIC,Australia,10
2996,Jerrylee,Shinfield,Female,1967-05-05,50,Cost Accountant,Financial Services,Mass Customer,N,No,36,0 Lakewood Street,2144,NSW,Australia,10
2692,Jacklyn,Bromehed,Female,1988-12-19,140,Research Associate,Health,High Net Worth,N,Yes,37,0 Little Fleur Avenue,4031,QLD,Australia,8
950,Bret,Ivakhnov,U,,133,Recruiter,IT,High Net Worth,N,Yes,38,0 Menomonie Avenue,3177,VIC,Australia,6
1588,Dukey,McCrie,Male,1983-01-28,20,Administrative Officer,IT,High Net Worth,N,Yes,39,0 Michigan Plaza,2077,NSW,Australia,10
2231,Rasla,Landreth,Female,1959-09-25,12,Accounting Assistant II,n/a,Mass Customer,N,No,40,0 Mifflin Alley,4818,QLD,Australia,5
1307,Emlyn,Musgrave,Female,1970-09-06,56,Dental Hygienist,Health,High Net Worth,N,Yes,41,0 Moland Parkway,4127,QLD,Australia,7
2131,Nettle,Painter,Female,1971-03-21,117,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,42,0 Moose Court,2063,NSW,Australia,12
2506,Arlana,Ferrick,Female,1955-01-20,197,,Health,Affluent Customer,N,No,43,0 Mosinee Lane,3250,VIC,Australia,4
2461,Tully,,Male,1976-06-12,164,Speech Pathologist,n/a,Affluent Customer,N,No,44,0 Moulton Plaza,2761,NSW,Australia,8
1623,Katy,Taffee,Female,1997-12-24,162,Software Test Engineer III,Entertainment,High Net Worth,N,Yes,45,0 Namekagon Circle,3150,VIC,Australia,9
1089,Korney,Hess,Female,1988-09-17,120,Product Engineer,Property,Affluent Customer,N,No,46,0 Nevada Pass,2216,NSW,Australia,10
211,Beitris,,Female,1974-03-04,184,VP Marketing,Manufacturing,Mass Customer,N,Yes,47,0 Northport Court,4012,QLD,Australia,3
1191,Merrielle,Vegas,Female,1996-05-22,63,Director of Sales,n/a,Mass Customer,N,Yes,48,0 Northport Hill,3043,VIC,Australia,8
